name,state,population,latitude,longitude
Panama City,Florida,100072,30.1586100454,-85.6552732765
Dalton,Georgia,58557,34.769723937,-84.9703021665
Marietta,Georgia,61360,33.9556134227,-84.54324813
Waycross,Georgia,19824,31.2138169546,-82.3549062517
La Grange,Georgia,31776,33.0364705597,-85.0318746355
Southaven,Mississippi,121268,34.9689107453,-90.0034574806
Meridian,Mississippi,42290,32.3641860138,-88.703614341
Laurel,Mississippi,28841,31.6973791697,-89.1392725034
Spartanburg,South Carolina,124126,34.9494287303,-81.9322705502
Orangeburg,South Carolina,35472,33.4968042186,-80.862232505
Galesburg,Illinois,32094,40.9477706086,-90.3710836199
Joliet,Illinois,578460,41.529983133,-88.1066740333
Cape Girardeau,Illinois,40427,37.3058223664,-89.5180865903
Rockford,Illinois,255978,42.269705423,-89.0696901873
Evanston,Illinois,350000,42.0483494253,-87.699954673
Rock Island,Illinois,165728,41.4933962189,-90.5346136899
Elgin,Illinois,389514,42.039461079,-88.2899186622
Richmond,Indiana,44400,39.8288983348,-84.8902812111
Terre Haute,Indiana,73236,39.4666465444,-87.4138739438
Lafayette,Indiana,133977,40.4172086782,-86.8782477231
Marion,Indiana,38297,40.5583370148,-85.6591748471
South Bend,Indiana,239822,41.6833071076,-86.2500173357
New Albany,Indiana,120625,38.310877298,-85.8212838152
Elkhart,Indiana,149190,41.6829453726,-85.9687941912
Hopkinsville,Kentucky,35604,36.8654874868,-87.4886239031
London,Kentucky,7844,37.1288822622,-84.0833537208
Madisonville,Kentucky,22294,37.3327457876,-87.5022148048
Rocky Mount,North Carolina,58361,35.93799888,-77.7907662371
Salisbury,North Carolina,41352,35.6707800487,-80.4744783953
Durham,North Carolina,309495,35.9999589224,-78.9199996355
Lumberton,North Carolina,32785,34.6272003367,-79.0119061704
Zanesville,Ohio,40052,39.9402868846,-82.0133250343
Mansfield,Ohio,77768,40.7583248078,-82.5155424415
Bowling Green,Ohio,37080,41.3747471304,-83.6513904233
Springfield,Ohio,84576,39.9200038849,-83.7999860044
Lancaster,Ohio,48829,39.7192151073,-82.6053044044
Johnson City,Tennessee,77538,36.3133248078,-82.3536143409
Kingsport,Tennessee,57467,36.5483233836,-82.5619478777
Columbia,Tennessee,116091,35.61499534,-87.0352665626
Barlett,Tennessee,286423,35.22290041,-89.8410901304
Blacksburg,Virginia,67508,37.2294187612,-80.414197837
Harrisonburg,Virginia,42538,38.449421813,-78.8691758644
Petersburg,Virginia,118577,37.2277651154,-77.4022369809
Hampton,Virginia,366766,37.0300252472,-76.3499497901
Sheboygan,Wisconsin,53705,43.7508294872,-87.714424074
Waukesha,Wisconsin,249912,43.0116497997,-88.2313692645
La Crosse,Wisconsin,87381,43.801369038,-91.23942855
Eau Claire,Wisconsin,79740,44.8113590689,-91.498353314
Tomah,Wisconsin,12997,43.9850529165,-90.5038920509
Janesville,Wisconsin,69278,42.6826259553,-89.0215794289
Appleton,Wisconsin,203665,44.2686790152,-88.4005062274
Parkersburg,West Virginia,61935,39.2666587515,-81.5616471778
White Sulphur Springs,West Virginia,2407,37.7938804312,-80.3034810808
Clarksburg,West Virginia,28773,39.2832727245,-80.3369157325
Dover,Delaware,76039,39.1580865672,-75.5247030046
St. Charles,Maryland,69208,38.6030558462,-76.9389319272
Annapolis,Maryland,81300,38.9783300975,-76.4924992286
Hagerstown,Maryland,79662,39.6416487824,-77.7202795834
Paterson,New Jersey,151205,40.9199945262,-74.1700053321
Saratoga Springs,New York,55793,43.0829632762,-73.7850159115
Poughkeepsie,New York,170996,41.7002311392,-73.9214158546
Plattsburg,New York,29238,44.6949837434,-73.4579816098
Beaver Falls,Pennsylvania,120125,40.7519427684,-80.3194232602
Altoona,Pennsylvania,78607,40.5185978384,-78.3949670834
Williamsport,Pennsylvania,56877,41.2410860383,-77.0013828956
Lancaster,Pennsylvania,209489,40.0377744741,-76.3057664405
Allentown,Pennsylvania,496442,40.5999882193,-75.5000275082
Waterville,Maine,25152,44.5518917023,-69.6457853614
Calais,Maine,3306,45.1659885855,-67.2423920101
Houlton,Maine,6703,46.1255165803,-67.839719891
Benton Harbor,Michigan,58382,42.1166398306,-86.4541909197
Battle Creek,Michigan,70820,42.321097635,-85.1797467465
Bay City,Michigan,68549,43.5944566031,-83.8888953061
Alpena,Michigan,18330,45.0616021923,-83.4326957618
Iron Mountain,Michigan,16183,45.8224601431,-88.0640926531
Ironwood,Michigan,7064,46.4558064973,-90.1593911151
Sand Point,Alaska,667,55.3397086783,-160.497190798
Hydaburg,Alaska,382,55.2139799185,-132.80063847
Mekoryuk,Alaska,99,60.3886467098,-166.189937217
Atqasuk,Alaska,201,70.4693794954,-157.395778038
Port Heiden,Alaska,102,56.9490936474,-158.626891522
Perryville,Alaska,113,55.918613911,-159.151148928
Dillingham,Alaska,2488,59.0565603114,-158.480312073
Goodnews Bay,Alaska,230,59.1209926545,-161.587130239
Nyac,Alaska,100,61.0041432893,-159.940480593
Tununak,Alaska,352,60.5854866731,-165.255789227
Mountain Village,Alaska,755,62.0855243115,-163.729009035
Emmonak,Alaska,100,62.7769808137,-164.522991579
Kaltag,Alaska,190,64.3271962679,-158.721898643
Teller,Alaska,83,65.2635990592,-166.360786379
Koyukuk,Alaska,101,64.8802891227,-157.700849856
Kobuk,Alaska,151,66.9072455029,-156.880977419
Selawik,Alaska,832,66.6038790071,-160.009391115
Talkeetna,Alaska,1078,62.3237785025,-150.109426923
Whittier,Alaska,177,60.7841567171,-148.67767969
Montana,Alaska,10,62.0796848746,-150.072762494
Lake Minchumina,Alaska,32,63.8828306266,-152.312186525
Cantwell,Alaska,222,63.3915944612,-148.950789634
Gulkana,Alaska,119,62.271352762,-145.382196088
Eagle,Alaska,104,64.7879950146,-141.199996584
Nenana,Alaska,75,64.5637968131,-149.093003176
Big Delta,Alaska,591,64.1525299267,-145.84219385
Allakaket,Alaska,97,66.5654834179,-152.645499514
Tanana,Alaska,308,65.1718733919,-152.078789919
Virginia,Minnesota,8709,47.5236741324,-92.5364036476
Winona,Minnesota,32897,44.0504236034,-91.6391974302
Rochester,Minnesota,108511,44.0220532421,-92.4696893735
Lakeville,Minnesota,261308,44.6501027619,-93.2425104185
Ely,Minnesota,3731,47.900421162,-91.8256976743
Moorhead,Minnesota,35528,46.8743080842,-96.7421934426
St. Cloud,Minnesota,112794,45.5612099397,-94.1622217222
Miles City,Montana,8615,46.4088842968,-105.839984377
Bozeman,Montana,44921,45.6800915721,-111.037832481
Glasgow,Montana,3240,48.183969746,-106.635258832
Dickinson,North Dakota,16399,46.8839974152,-102.788801109
Jamestown,North Dakota,15081,46.9060115754,-98.7029781512
Williston,North Dakota,13564,48.1567879426,-103.628000531
Lihue,Hawaii,15536,21.981512267,-159.371006309
Wahiawa,Hawaii,174766,21.5030918569,-158.023620852
Wailuku,Hawaii,52148,20.8914754425,-156.504721316
Montpelier,Idaho,2997,42.3226220897,-111.296912274
Twin Falls,Idaho,47315,42.5609537954,-114.460569297
Caldwell,Idaho,132476,43.6609641714,-116.670537762
Salmon,Idaho,3601,45.1756779165,-113.894996584
Coeur d'Alene,Idaho,34514,47.6780833121,-116.779445843
Richland,Washington,44869,46.2918113394,-119.29110132
Bellingham,Washington,99662,48.7601361278,-122.486926922
Longview,Washington,66231,46.1387199087,-122.936951133
Walla Walla,Washington,45150,46.0651585074,-118.341882774
Aberdeen,Washington,32745,46.9748962596,-123.814391115
Bremerton,Washington,126820,47.5735955236,-122.642017533
Everett,Washington,486903,47.9604174999,-122.199967694
Bullhead City,Arizona,37989,35.1481762889,-114.567487836
Winslow,Arizona,9931,35.284705423,-110.700695436
Gila Bend,Arizona,2088,32.9503776235,-112.724654584
Tombstone,Arizona,1570,31.7131404816,-110.066883994
Willcox,Arizona,5146,32.2532108755,-109.831394492
Scottsdale,Arizona,15401,33.6923478384,-111.868040204
Kingman,Arizona,42182,35.1898791698,-114.052222129
Grand Canyon,Arizona,1550,36.054787617,-112.138592165
Arcata,California,20905,40.8851904491,-124.08822453
Stockton,California,685306,37.9581339712,-121.289739016
Barstow,California,21119,34.8990183706,-117.021885825
Victorville,California,83496,34.5365081981,-117.290319053
Pasadena,California,144618,34.1603812856,-118.138871909
Visalia,California,121968,36.3250295197,-119.316009361
El Centro,California,45000,32.7923769318,-115.558047528
San Luis Obispo,California,65386,35.2831809683,-120.65858891
Merced,California,96091,37.3026184276,-120.481933026
Yuba City,California,116217,39.1410333446,-121.615765627
Redding,California,96058,40.587043273,-122.390576214
Santa Rosa,California,231792,38.4504036652,-122.699988853
Oceanside,California,609854,33.2204644969,-117.33496749
Modesto,California,323386,37.6554134308,-120.98998987
Irvine,California,3010232,33.6804105825,-117.829950197
Ukiah,California,27828,39.154236673,-123.210862062
Needles,California,6974,34.8484271434,-114.613350669
Bishop,California,4827,37.3639583527,-118.39407597
Palm Springs,California,390115,33.7773555695,-116.533052614
Santa Maria,California,110705,34.9401269725,-120.436638633
Tulare,California,55908,36.2070263866,-119.34412134
Mt. Shasta,California,3855,41.3103582958,-122.309392539
Crescent City,California,11534,41.7564550975,-124.200491579
Fort Collins,Colorado,228385,40.5606882925,-105.058869265
Pueblo,Colorado,112195,38.280388203,-104.630006553
Lamar,Colorado,8620,38.086498229,-102.619405764
Trinidad,Colorado,9156,37.1713344513,-104.506396527
Gunnison,Colorado,7324,38.5447648306,-106.928290041
Durango,Colorado,23233,37.2756433299,-107.879989056
Montrose,Colorado,21789,38.47727541,-107.865519655
Craig,Colorado,9391,40.5172800894,-107.550396771
Boulder,Colorado,122274,40.0384462678,-105.246092979
Boulder City,Nevada,15479,35.9789524526,-114.831580243
Winnemucca,Nevada,9666,40.9733762808,-117.734684694
Roswell,New Mexico,46096,33.3945365591,-104.522467897
Clovis,New Mexico,33792,34.4050691925,-103.20477055
Las Cruces,New Mexico,115167,32.3126129344,-106.77780827
Hobbs,New Mexico,28738,32.7126143585,-103.14061426
Socorro,New Mexico,8668,34.0621185496,-106.898989504
Gallup,New Mexico,23800,35.5240706574,-108.733993776
Raton,New Mexico,7073,36.8973976838,-104.439888959
Tucumcari,New Mexico,5313,35.1698028758,-103.725513959
Roseburg,Oregon,30479,43.2184330435,-123.356098675
Pendleton,Oregon,16799,45.6725984895,-118.787488649
John Day,Oregon,1573,44.416525288,-118.95202641
Grants Pass,Oregon,46189,42.4395400178,-123.327185712
Corvallis,Oregon,59030,44.5723555695,-123.279979291
Albany,Oregon,51376,44.6204921662,-123.086941978
Astoria,Oregon,10011,46.1883809602,-123.829997398
Logan,Utah,72490,41.7359395539,-111.833597862
Parowan,Utah,2571,37.8425337922,-112.827206463
Kanab,Utah,3442,37.0473885285,-112.525493614
Monticello,Utah,1864,37.8717826528,-109.342199546
Moab,Utah,5730,38.5737036327,-109.549189496
Price,Utah,10281,39.5997908722,-110.810016929
Cedar City,Utah,27738,37.677427591,-113.061093996
Vernal,Utah,14353,40.4553975617,-109.528002158
Ogden,Utah,377224,41.2323785594,-111.9680341
Green River,Wyoming,11358,41.514557718,-109.464982749
Rawlins,Wyoming,8533,41.7906648957,-107.234292035
Douglas,Wyoming,6298,42.756471577,-105.384534141
Riverton,Wyoming,11508,43.0281604198,-108.395048057
Thermopolis,Wyoming,3445,43.6459780061,-108.21467147
Gillette,Wyoming,29113,44.2831742544,-105.505250287
Jonesboro,Arkansas,58619,35.8425783478,-90.7041640643
Texarkana,Arkansas,74414,33.442104715,-94.0374748146
Pine Bluff,Arkansas,53217,34.2286975291,-92.0030511899
Hot Springs,Arkansas,44182,34.5039520457,-93.0550024839
Fort Smith,Arkansas,93988,35.3862237742,-94.3983571795
