id,name,region,pop,gdp,gdppc,year
KGZ,Kyrgyzstan,Asia,6591600.0,7735976613.0,0,2020.0
KHM,Cambodia,Asia,16718971.0,25291251427.0,0,2020.0
KIR,Kiribati,Oceania,119446.0,199573326.0,0,2020.0
KNA,Saint Kitts and Nevis,America,53192.0,927451852.0,0,2020.0
KOR,South Korea,Asia,51780579.0,1630525005469.0,0,2020.0
KOS,Kosovo,Europe,1775378.0,7611402165.0,0,2020.0
KWT,Kuwait,Asia,4207077.0,136196760181.0,0,2019.0
LAO,Laos,Asia,7275556.0,19136194849.0,0,2020.0
LBN,Lebanon,Asia,6825442.0,33383246858.0,0,2020.0
LBR,Liberia,Africa,5057677.0,2950000000.0,0,2020.0
LBY,Libya,Africa,6871287.0,25418461532.0,0,2020.0
LCA,Saint Lucia,America,183629.0,1703364241.0,0,2020.0
LIE,Liechtenstein,Europe,37918.0,6839145107.0,0,2018.0
LKA,Sri Lanka,Asia,21919000.0,80706600229.0,0,2020.0
LSO,Lesotho,Africa,2142252.0,1844510138.0,0,2020.0
LTU,Lithuania,Europe,2794700.0,55887271833.0,0,2020.0
LUX,Luxembourg,Europe,632275.0,73263982103.0,0,2020.0
LVA,Latvia,Europe,1901548.0,33505185229.0,0,2020.0
MAC,Macau,Asia,640446.0,55153707949.0,0,2019.0
MAR,Morocco,Africa,36910558.0,112870591694.0,0,2020.0
MCO,Monaco,Europe,38967.0,7423709840.0,0,2019.0
MDA,Moldova,Europe,2617820.0,11914040905.0,0,2020.0
MDG,Madagascar,Africa,27691019.0,13720634105.0,0,2020.0
MDV,Maldives,Asia,540542.0,4030203167.0,0,2020.0
MEX,Mexico,America,128932753.0,1076163316175.0,0,2020.0
MHL,Marshall Islands,Oceania,58791.0,239462200.0,0,2019.0
MKD,Macedonia,Europe,2083380.0,12266949805.0,0,2020.0
MLI,Mali,Africa,20250834.0,17393761397.0,0,2020.0
MLT,Malta,Europe,525285.0,14647384608.0,0,2020.0
MMR,Myanmar,Asia,54409794.0,76185586097.0,0,2020.0
MNE,Montenegro,Europe,621718.0,4778582336.0,0,2020.0
MNG,Mongolia,Asia,3278292.0,13137128659.0,0,2020.0
MOZ,Mozambique,Africa,31255435.0,14021421106.0,0,2020.0
MRT,Mauritania,Africa,4649660.0,7778525643.0,0,2020.0
MUS,Mauritius,Africa,1265740.0,10914065306.0,0,2020.0
MWI,Malawi,Africa,19129955.0,11961848553.0,0,2020.0
MYS,Malaysia,Asia,32365998.0,336664444247.0,0,2020.0
NAM,Namibia,Africa,2540916.0,10699926683.0,0,2020.0
NCL,New Caledonia,Oceania,,,0,
NER,Niger,Africa,24206636.0,13678234008.0,0,2020.0
NGA,Nigeria,Africa,206139587.0,432293776262.0,0,2020.0
NIC,Nicaragua,America,6624554.0,12621476264.0,0,2020.0
NLD,Netherlands,Europe,17441139.0,913865395790.0,0,2020.0
NOR,Norway,Europe,5379475.0,362522347110.0,0,2020.0
NPL,Nepal,Asia,29136808.0,33657175561.0,0,2020.0
NRU,Nauru,Oceania,10764.0,118223430.0,0,2019.0
NZL,New Zealand,Oceania,5084300.0,210886315369.0,0,2020.0
OMN,Oman,Asia,4974992.0,76331518669.0,0,2019.0
PAK,Pakistan,Asia,220892331.0,263686552686.0,0,2020.0
PAN,Panama,America,4314768.0,52938100000.0,0,2020.0
